Overriding config with config/train_shakespeare_char_bs64.py:
# Experiment 4: Lower Context Length
# Change: context length block_size 264 -> 64
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-bs64'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'bs64'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 64         # CHANGED: baseline was 256

n_layer = 6              
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3      
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 4,096
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.3225, val loss 4.3174
iter 0: loss 4.2976, time 5954.31ms, mfu -100.00%
iter 10: loss 3.2378, time 36.74ms, mfu 2.35%
iter 20: loss 2.8213, time 45.95ms, mfu 2.30%
iter 30: loss 2.6424, time 53.64ms, mfu 2.23%
iter 40: loss 2.5889, time 35.11ms, mfu 2.25%
iter 50: loss 2.5123, time 46.71ms, mfu 2.21%
iter 60: loss 2.5178, time 33.71ms, mfu 2.25%
iter 70: loss 2.4860, time 40.08ms, mfu 2.24%
iter 80: loss 2.4484, time 38.99ms, mfu 2.23%
iter 90: loss 2.4295, time 39.65ms, mfu 2.23%
iter 100: loss 2.4087, time 38.99ms, mfu 2.23%
iter 110: loss 2.3466, time 42.93ms, mfu 2.20%
iter 120: loss 2.3268, time 42.38ms, mfu 2.19%
iter 130: loss 2.2642, time 46.77ms, mfu 2.15%
iter 140: loss 2.2482, time 41.03ms, mfu 2.15%
iter 150: loss 2.1785, time 38.53ms, mfu 2.16%
iter 160: loss 2.1805, time 40.81ms, mfu 2.15%
iter 170: loss 2.1971, time 41.43ms, mfu 2.14%
iter 180: loss 2.1423, time 31.64ms, mfu 2.20%
iter 190: loss 2.0989, time 33.10ms, mfu 2.24%
iter 200: loss 2.0960, time 42.22ms, mfu 2.22%
iter 210: loss 2.0967, time 44.86ms, mfu 2.19%
iter 220: loss 2.1150, time 43.48ms, mfu 2.17%
iter 230: loss 2.0927, time 34.69ms, mfu 2.20%
iter 240: loss 2.0479, time 25.96ms, mfu 2.31%
step 250: train loss 1.9764, val loss 2.0759
saving checkpoint to out-shakespeare-bs64
iter 250: loss 2.0432, time 5847.10ms, mfu 2.08%
iter 260: loss 2.0243, time 41.34ms, mfu 2.08%
iter 270: loss 2.0217, time 51.60ms, mfu 2.04%
iter 280: loss 1.9505, time 40.62ms, mfu 2.05%
iter 290: loss 2.0222, time 34.32ms, mfu 2.10%
iter 300: loss 1.9879, time 44.62ms, mfu 2.08%
iter 310: loss 1.9801, time 32.11ms, mfu 2.14%
iter 320: loss 1.9642, time 34.16ms, mfu 2.18%
iter 330: loss 1.9684, time 45.50ms, mfu 2.15%
iter 340: loss 1.9115, time 39.51ms, mfu 2.15%
iter 350: loss 1.9388, time 35.01ms, mfu 2.18%
iter 360: loss 1.9315, time 35.36ms, mfu 2.21%
iter 370: loss 1.9199, time 40.32ms, mfu 2.20%
iter 380: loss 1.9305, time 47.59ms, mfu 2.16%
iter 390: loss 1.8967, time 37.91ms, mfu 2.17%
iter 400: loss 1.9130, time 32.85ms, mfu 2.22%
iter 410: loss 1.8782, time 34.58ms, mfu 2.25%
