Overriding config with config/train_shakespeare_char_do0.0.py:
# Experiment 3: Low Dropout
# Change: dropout 0.2 -> 0.0 (remove dropout)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-do0.0'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'do0.0'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.0       # CHANGED: baseline was 0.2

learning_rate = 1e-3       
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\creep\.vscode\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2865, time 135823.46ms, mfu -100.00%
iter 10: loss 3.0334, time 908.71ms, mfu 0.41%
iter 20: loss 2.6584, time 911.00ms, mfu 0.41%
iter 30: loss 2.5755, time 918.18ms, mfu 0.41%
iter 40: loss 2.5356, time 904.53ms, mfu 0.41%
iter 50: loss 2.4910, time 912.15ms, mfu 0.41%
iter 60: loss 2.4744, time 910.96ms, mfu 0.41%
iter 70: loss 2.4588, time 907.02ms, mfu 0.41%
iter 80: loss 2.4637, time 916.51ms, mfu 0.41%
iter 90: loss 2.4151, time 911.19ms, mfu 0.41%
iter 100: loss 2.4018, time 912.34ms, mfu 0.41%
iter 110: loss 2.3880, time 912.49ms, mfu 0.41%
iter 120: loss 2.3451, time 911.70ms, mfu 0.41%
iter 130: loss 2.3183, time 922.17ms, mfu 0.41%
iter 140: loss 2.2679, time 910.74ms, mfu 0.41%
iter 150: loss 2.2436, time 901.78ms, mfu 0.41%
iter 160: loss 2.1595, time 919.48ms, mfu 0.41%
iter 170: loss 2.1315, time 907.59ms, mfu 0.41%
iter 180: loss 2.0758, time 914.73ms, mfu 0.41%
iter 190: loss 2.0123, time 908.45ms, mfu 0.41%
