Overriding config with config/train_shakespeare_char_do04.py:
# Experiment 2b: High Dropout
# Change: dropout 0.2 -> 0.4 (increase dropout)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-do04'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'do04'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.4       # CHANGED: baseline was 0.2

learning_rate = 1e-3       
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2583, time 20496.22ms, mfu -100.00%
iter 10: loss 3.3055, time 158.67ms, mfu 2.35%
iter 20: loss 2.8763, time 156.85ms, mfu 2.35%
iter 30: loss 2.6988, time 155.71ms, mfu 2.36%
iter 40: loss 2.6248, time 151.02ms, mfu 2.37%
iter 50: loss 2.5704, time 148.60ms, mfu 2.38%
iter 60: loss 2.5465, time 152.03ms, mfu 2.39%
iter 70: loss 2.5296, time 149.19ms, mfu 2.40%
iter 80: loss 2.5263, time 150.63ms, mfu 2.41%
iter 90: loss 2.5065, time 158.25ms, mfu 2.40%
iter 100: loss 2.4978, time 148.07ms, mfu 2.41%
iter 110: loss 2.4920, time 147.18ms, mfu 2.42%
iter 120: loss 2.4691, time 144.79ms, mfu 2.44%
iter 130: loss 2.4599, time 153.10ms, mfu 2.44%
iter 140: loss 2.4536, time 152.97ms, mfu 2.44%
iter 150: loss 2.4732, time 147.33ms, mfu 2.45%
iter 160: loss 2.4593, time 146.34ms, mfu 2.46%
iter 170: loss 2.4346, time 152.09ms, mfu 2.46%
iter 180: loss 2.4340, time 159.28ms, mfu 2.45%
iter 190: loss 2.4093, time 147.77ms, mfu 2.45%
