Overriding config with config/train_shakespeare_char_lr1e2.py:
# Experiment 1: High learning rate
# Change: learning_rate 1e-3 -> 1e-2 (10x increase)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-lr1e2'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'lr1e2'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-2       # CHANGED: baseline was 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda'
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2674, time 21184.95ms, mfu -100.00%
iter 10: loss 2.9296, time 166.83ms, mfu 2.23%
iter 20: loss 2.5875, time 157.80ms, mfu 2.25%
iter 30: loss 2.5642, time 149.88ms, mfu 2.27%
iter 40: loss 2.5548, time 169.89ms, mfu 2.26%
iter 50: loss 2.5196, time 152.66ms, mfu 2.28%
iter 60: loss 2.6272, time 150.56ms, mfu 2.30%
iter 70: loss 2.7016, time 163.87ms, mfu 2.30%
iter 80: loss 2.6171, time 158.75ms, mfu 2.30%
iter 90: loss 2.5500, time 158.18ms, mfu 2.31%
iter 100: loss 2.5385, time 160.14ms, mfu 2.31%
iter 110: loss 2.5347, time 158.15ms, mfu 2.31%
iter 120: loss 2.5146, time 153.01ms, mfu 2.33%
iter 130: loss 2.4994, time 149.24ms, mfu 2.34%
iter 140: loss 2.5003, time 153.18ms, mfu 2.35%
iter 150: loss 2.5154, time 149.73ms, mfu 2.37%
iter 160: loss 2.4895, time 158.10ms, mfu 2.37%
iter 170: loss 2.4826, time 151.28ms, mfu 2.37%
iter 180: loss 2.4801, time 150.02ms, mfu 2.39%
iter 190: loss 2.4655, time 150.23ms, mfu 2.40%
