Overriding config with config/train_shakespeare_char_lr5e4.py:
# Experiment 2: Low learning rate
# Change: learning_rate 1e-3 -> 5e-4 (5x decrease)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-lr5e4'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'lr5e4'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 5e-4       # CHANGED: baseline was 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2674, time 20921.08ms, mfu -100.00%
iter 10: loss 3.3182, time 167.87ms, mfu 2.22%
iter 20: loss 2.8756, time 173.11ms, mfu 2.21%
iter 30: loss 2.6956, time 178.91ms, mfu 2.20%
iter 40: loss 2.6180, time 176.52ms, mfu 2.19%
iter 50: loss 2.5576, time 166.32ms, mfu 2.20%
iter 60: loss 2.5310, time 163.16ms, mfu 2.20%
iter 70: loss 2.5161, time 166.71ms, mfu 2.21%
iter 80: loss 2.5091, time 154.22ms, mfu 2.23%
iter 90: loss 2.4866, time 164.09ms, mfu 2.23%
iter 100: loss 2.4754, time 175.42ms, mfu 2.22%
iter 110: loss 2.4676, time 159.83ms, mfu 2.23%
iter 120: loss 2.4472, time 167.53ms, mfu 2.23%
iter 130: loss 2.4307, time 167.18ms, mfu 2.23%
iter 140: loss 2.4307, time 157.95ms, mfu 2.24%
iter 150: loss 2.4467, time 171.78ms, mfu 2.24%
iter 160: loss 2.4144, time 176.46ms, mfu 2.22%
iter 170: loss 2.3968, time 179.12ms, mfu 2.21%
iter 180: loss 2.3974, time 168.20ms, mfu 2.21%
iter 190: loss 2.3518, time 173.07ms, mfu 2.20%
