Overriding config with config/train_shakespeare_char_md2.py:
# Experiment 4: Low Model Depth
# Change: model depth n_layer 6 -> 2
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-md2'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'md2'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 2              # CHANGED: baseline was 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3      
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.57M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 10, with 3,662,208 parameters
num non-decayed parameter tensors: 5, with 1,920 parameters
using fused AdamW: True
step 0: train loss 4.2461, val loss 4.2432
iter 0: loss 4.2543, time 8089.08ms, mfu -100.00%
iter 10: loss 3.3135, time 60.84ms, mfu 2.05%
iter 20: loss 2.9181, time 67.92ms, mfu 2.03%
iter 30: loss 2.6774, time 55.89ms, mfu 2.05%
iter 40: loss 2.5716, time 54.46ms, mfu 2.07%
iter 50: loss 2.5371, time 47.58ms, mfu 2.13%
iter 60: loss 2.4965, time 59.37ms, mfu 2.13%
iter 70: loss 2.4934, time 68.21ms, mfu 2.10%
iter 80: loss 2.4984, time 65.09ms, mfu 2.08%
iter 90: loss 2.4831, time 56.54ms, mfu 2.09%
iter 100: loss 2.4705, time 57.82ms, mfu 2.10%
iter 110: loss 2.4624, time 54.60ms, mfu 2.12%
iter 120: loss 2.4684, time 58.29ms, mfu 2.12%
iter 130: loss 2.4289, time 53.06ms, mfu 2.14%
iter 140: loss 2.4373, time 49.52ms, mfu 2.18%
iter 150: loss 2.4311, time 54.59ms, mfu 2.19%
iter 160: loss 2.3950, time 52.80ms, mfu 2.21%
iter 170: loss 2.3926, time 52.99ms, mfu 2.22%
iter 180: loss 2.3441, time 53.13ms, mfu 2.23%
iter 190: loss 2.3144, time 46.61ms, mfu 2.28%
iter 200: loss 2.2756, time 46.62ms, mfu 2.32%
iter 210: loss 2.2359, time 49.19ms, mfu 2.34%
iter 220: loss 2.1690, time 52.71ms, mfu 2.34%
iter 230: loss 2.1186, time 60.54ms, mfu 2.31%
iter 240: loss 2.0975, time 60.89ms, mfu 2.29%
step 250: train loss 1.9774, val loss 2.0944
saving checkpoint to out-shakespeare-md2
iter 250: loss 2.0450, time 8198.77ms, mfu 2.06%
iter 260: loss 2.0634, time 54.01ms, mfu 2.09%
iter 270: loss 2.0214, time 57.37ms, mfu 2.09%
iter 280: loss 2.0078, time 58.64ms, mfu 2.10%
iter 290: loss 1.9740, time 62.29ms, mfu 2.09%
iter 300: loss 1.9167, time 64.54ms, mfu 2.07%
iter 310: loss 1.9232, time 63.88ms, mfu 2.06%
iter 320: loss 1.8651, time 52.74ms, mfu 2.09%
iter 330: loss 1.8589, time 66.56ms, mfu 2.07%
iter 340: loss 1.8465, time 46.35ms, mfu 2.13%
iter 350: loss 1.8155, time 60.44ms, mfu 2.12%
iter 360: loss 1.8421, time 64.00ms, mfu 2.11%
iter 370: loss 1.7926, time 57.26ms, mfu 2.11%
iter 380: loss 1.7926, time 53.09ms, mfu 2.14%
iter 390: loss 1.8053, time 54.03ms, mfu 2.15%
iter 400: loss 1.8007, time 53.14ms, mfu 2.17%
iter 410: loss 1.7691, time 53.25ms, mfu 2.19%
iter 420: loss 1.7230, time 64.31ms, mfu 2.17%
iter 430: loss 1.7167, time 53.32ms, mfu 2.18%
iter 440: loss 1.7361, time 50.01ms, mfu 2.21%
iter 450: loss 1.6939, time 58.73ms, mfu 2.21%
iter 460: loss 1.7048, time 49.55ms, mfu 2.24%
iter 470: loss 1.6855, time 65.07ms, mfu 2.20%
iter 480: loss 1.6998, time 48.43ms, mfu 2.24%
iter 490: loss 1.6942, time 63.13ms, mfu 2.22%
step 500: train loss 1.5736, val loss 1.7670
saving checkpoint to out-shakespeare-md2
iter 500: loss 1.6825, time 8133.73ms, mfu 2.00%
iter 510: loss 1.6727, time 55.02ms, mfu 2.02%
iter 520: loss 1.6659, time 61.50ms, mfu 2.02%
iter 530: loss 1.6251, time 58.44ms, mfu 2.03%
iter 540: loss 1.6802, time 60.85ms, mfu 2.04%
iter 550: loss 1.6072, time 63.60ms, mfu 2.03%
iter 560: loss 1.6381, time 47.04ms, mfu 2.09%
iter 570: loss 1.6201, time 64.99ms, mfu 2.07%
iter 580: loss 1.6441, time 47.77ms, mfu 2.13%
iter 590: loss 1.6128, time 56.32ms, mfu 2.14%
iter 600: loss 1.6153, time 54.67ms, mfu 2.15%
iter 610: loss 1.6407, time 62.29ms, mfu 2.14%
iter 620: loss 1.5818, time 48.26ms, mfu 2.18%
iter 630: loss 1.5871, time 47.95ms, mfu 2.22%
iter 640: loss 1.5949, time 49.02ms, mfu 2.25%
iter 650: loss 1.5823, time 52.86ms, mfu 2.27%
iter 660: loss 1.5726, time 62.29ms, mfu 2.24%
iter 670: loss 1.5958, time 53.70ms, mfu 2.25%
iter 680: loss 1.6095, time 64.88ms, mfu 2.22%
iter 690: loss 1.5912, time 47.15ms, mfu 2.26%
iter 700: loss 1.5876, time 58.22ms, mfu 2.25%
iter 710: loss 1.5698, time 48.68ms, mfu 2.28%
iter 720: loss 1.5593, time 54.19ms, mfu 2.28%
iter 730: loss 1.5716, time 60.62ms, mfu 2.26%
iter 740: loss 1.5565, time 52.80ms, mfu 2.27%
step 750: train loss 1.4464, val loss 1.6742
saving checkpoint to out-shakespeare-md2
iter 750: loss 1.5309, time 8219.92ms, mfu 2.04%
iter 760: loss 1.5744, time 58.17ms, mfu 2.05%
iter 770: loss 1.5371, time 57.10ms, mfu 2.07%
iter 780: loss 1.5587, time 61.72ms, mfu 2.06%
iter 790: loss 1.5633, time 66.18ms, mfu 2.04%
iter 800: loss 1.5370, time 51.57ms, mfu 2.08%
iter 810: loss 1.5231, time 61.10ms, mfu 2.08%
iter 820: loss 1.5477, time 55.44ms, mfu 2.09%
iter 830: loss 1.5173, time 54.58ms, mfu 2.11%
iter 840: loss 1.5095, time 63.87ms, mfu 2.10%
iter 850: loss 1.5411, time 48.28ms, mfu 2.15%
iter 860: loss 1.5174, time 61.99ms, mfu 2.13%
iter 870: loss 1.5199, time 47.42ms, mfu 2.18%
iter 880: loss 1.5259, time 46.93ms, mfu 2.23%
