Overriding config with config/train_shakespeare_char_md8.py:
# Experiment 4: High Model Depth
# Change: model depth n_layer 6 -> 8
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-md8'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'md8'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 8              # CHANGED: baseline was 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3      
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 14.19M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 34, with 14,279,040 parameters
num non-decayed parameter tensors: 17, with 6,528 parameters
using fused AdamW: True
step 0: train loss 4.3102, val loss 4.3031
iter 0: loss 4.2871, time 26579.88ms, mfu -100.00%
iter 10: loss 3.1384, time 200.25ms, mfu 2.48%
iter 20: loss 2.7514, time 199.95ms, mfu 2.48%
iter 30: loss 2.6210, time 198.97ms, mfu 2.48%
iter 40: loss 2.5532, time 199.29ms, mfu 2.48%
iter 50: loss 2.5104, time 194.09ms, mfu 2.49%
iter 60: loss 2.5213, time 194.57ms, mfu 2.50%
iter 70: loss 2.4909, time 199.65ms, mfu 2.50%
iter 80: loss 2.4704, time 197.55ms, mfu 2.50%
iter 90: loss 2.4756, time 188.81ms, mfu 2.51%
iter 100: loss 2.4551, time 192.69ms, mfu 2.52%
iter 110: loss 2.4442, time 190.31ms, mfu 2.53%
iter 120: loss 2.4486, time 195.09ms, mfu 2.53%
iter 130: loss 2.4297, time 185.44ms, mfu 2.54%
iter 140: loss 2.4044, time 195.88ms, mfu 2.54%
iter 150: loss 2.3785, time 198.03ms, mfu 2.54%
iter 160: loss 2.3793, time 201.11ms, mfu 2.53%
iter 170: loss 2.3573, time 203.55ms, mfu 2.52%
iter 180: loss 2.3126, time 198.61ms, mfu 2.52%
iter 190: loss 2.2649, time 190.58ms, mfu 2.53%
iter 200: loss 2.1946, time 199.90ms, mfu 2.52%
iter 210: loss 2.1715, time 194.72ms, mfu 2.53%
iter 220: loss 2.1489, time 202.79ms, mfu 2.52%
